"#";"Vorname";"Nachname";"Geb.Datum"
"1";"Jennifer";"Lawrence";"15.08.1990"
"2";"Jennifer";"Anniston";"11.02.1969"
"3";"Emma";"Watson";"15.04.1990"
"4";"Margot";"Robbie";"02.07.1990"
"5";"Blake";"Lively";"25.08.1987"
